gen testSuiteSize notKilledMutants number_of_tests no_discount_objective no_equiv_mut_not_killed no_equiv_mut_not_killed_perc
74 3 7 256 7 7 0.7
74 5 5 256 5 5 0.5
75 3 7 256 7 7 0.7
75 4 0 256 0 0 0.0
75 1 10 256 10 10 1.0
76 4 4 256 4 4 0.4
76 2 10 256 10 10 1.0
77 1 10 256 10 10 1.0
77 3 8 256 8 8 0.8
78 6 4 256 4 4 0.4
78 3 5 256 5 5 0.5
79 4 5 256 5 5 0.5
79 3 10 256 10 10 1.0
79 5 3 256 3 3 0.3
80 9 5 256 5 5 0.5
80 4 7 256 7 7 0.7
81 2 10 256 10 10 1.0
81 6 4 256 4 4 0.4
81 4 5 256 5 5 0.5
82 5 5 256 5 5 0.5
82 1 10 256 10 10 1.0
82 7 3 256 3 3 0.3
83 4 4 256 4 4 0.4
83 0 10 256 10 10 1.0
83 3 9 256 9 9 0.9
84 4 7 256 7 7 0.7
84 6 5 256 5 5 0.5
85 3 7 256 7 7 0.7
85 7 3 256 3 3 0.3
86 4 8 256 8 8 0.8
86 3 9 256 9 9 0.9
86 8 5 256 5 5 0.5
86 6 7 256 7 7 0.7
87 6 5 256 5 5 0.5
87 3 7 256 7 7 0.7
87 1 10 256 10 10 1.0
88 5 3 256 3 3 0.3
88 3 9 256 9 9 0.9
88 2 10 256 10 10 1.0
89 6 3 256 3 3 0.3
89 3 10 256 10 10 1.0
89 4 7 256 7 7 0.7
90 5 5 256 5 5 0.5
90 4 6 256 6 6 0.6
90 0 10 256 10 10 1.0
91 2 10 256 10 10 1.0
91 3 9 256 9 9 0.9
91 4 4 256 4 4 0.4
92 5 3 256 3 3 0.3
92 3 6 256 6 6 0.6
93 4 8 256 8 8 0.8
93 3 9 256 9 9 0.9
93 5 4 256 4 4 0.4
94 7 4 256 4 4 0.4
94 1 10 256 10 10 1.0
94 4 8 256 8 8 0.8
95 5 0 256 0 0 0.0
95 4 6 256 6 6 0.6
96 3 9 256 9 9 0.9
96 7 4 256 4 4 0.4
96 4 5 256 5 5 0.5
96 1 10 256 10 10 1.0
97 7 0 256 0 0 0.0
97 4 9 256 9 9 0.9
97 6 5 256 5 5 0.5
98 4 5 256 5 5 0.5
98 3 10 256 10 10 1.0
99 4 7 256 7 7 0.7
99 6 3 256 3 3 0.3
99 3 8 256 8 8 0.8
99 5 6 256 6 6 0.6
100 3 5 256 5 5 0.5
100 5 4 256 4 4 0.4
100 2 9 256 9 9 0.9
101 6 2 256 2 2 0.2
101 3 4 256 4 4 0.4
102 4 7 256 7 7 0.7
102 5 3 256 3 3 0.3
102 3 8 256 8 8 0.8
103 3 8 256 8 8 0.8
103 7 0 256 0 0 0.0
103 5 4 256 4 4 0.4
103 4 7 256 7 7 0.7
104 5 7 256 7 7 0.7
104 4 8 256 8 8 0.8
104 6 4 256 4 4 0.4
105 4 5 256 5 5 0.5
105 5 0 256 0 0 0.0
106 2 9 256 9 9 0.9
106 4 5 256 5 5 0.5
107 3 8 256 8 8 0.8
107 5 2 256 2 2 0.2
108 2 10 256 10 10 1.0
108 5 4 256 4 4 0.4
108 4 8 256 8 8 0.8
109 3 7 256 7 7 0.7
110 3 5 256 5 5 0.5
110 7 4 256 4 4 0.4
111 2 8 256 8 8 0.8
111 5 6 256 6 6 0.6
111 1 10 256 10 10 1.0
112 7 5 256 5 5 0.5
112 3 9 256 9 9 0.9
112 5 6 256 6 6 0.6
113 3 10 256 10 10 1.0
113 4 4 256 4 4 0.4
114 5 5 256 5 5 0.5
114 0 10 256 10 10 1.0
114 3 7 256 7 7 0.7
114 9 4 256 4 4 0.4
115 4 6 256 6 6 0.6
115 5 3 256 3 3 0.3
116 7 0 256 0 0 0.0
116 3 7 256 7 7 0.7
117 3 0 256 0 0 0.0
118 6 4 256 4 4 0.4
118 5 5 256 5 5 0.5
118 3 10 256 10 10 1.0
118 4 6 256 6 6 0.6
119 6 0 256 0 0 0.0
119 4 6 256 6 6 0.6
120 4 0 256 0 0 0.0
